genome_length,gc_content,orf_count,resistance_gene_count,virulence_factor_count,crispr_present,label
2944059,49.9134131081363,3148,0,0,1,Low
3258690,48.98498891904442,3468,2,1,1,Low
2993584,49.88548399557164,3147,0,0,1,Low
3571232,47.7920868946344,3726,0,1,1,Low
4499680,50.83322500082689,4687,3,2,1,High
3661499,39.639498354763774,3903,0,1,1,Low
2995457,38.50023471877867,3143,0,1,0,Low
2562161,39.79930716668221,2654,0,0,0,Low
4380391,50.763150496595145,4560,3,6,1,High
4410149,48.624414558624295,4643,1,2,1,High
3108976,50.54365841874561,3234,0,0,0,Low
3095753,44.98945773849278,3237,2,1,0,Low
4412978,50.56088741883205,4656,4,2,0,High
3328642,43.186336384670284,3514,1,0,1,Low
3840614,51.89394449820313,4088,1,2,0,High
3669011,59.84742718172092,3866,0,0,1,Low
5195515,48.36245018082104,5476,4,3,0,High
3943755,51.63289878508605,4140,0,0,1,Low
3108373,46.06763090276595,3280,2,0,1,Low
4000242,48.91452517355556,4239,0,0,1,Low
4925246,53.3857928379879,5232,2,2,0,High
4307309,47.62423836372611,4531,4,4,0,High
2815064,43.36931550304045,2939,0,1,1,Low
4150172,39.9388574155954,4321,1,0,1,Low
2964553,50.894834491459115,3115,3,0,1,Low
4376603,45.94061110125654,4557,3,6,0,High
3724887,58.67354606331577,3893,0,0,0,Low
5057523,67.41092596261889,5294,7,2,0,High
3264034,54.5337035818042,3389,0,0,1,Low
3304299,50.62813558453005,3443,0,0,0,Low
3787428,52.74581725907771,3993,3,3,0,High
4025585,50.62748374358361,4237,1,6,0,High
5021909,55.098536213717345,5304,2,3,1,High
4800906,55.02374112716661,5048,10,6,0,High
3640495,44.26380288107644,3871,0,0,1,Low
3485789,37.70145332433617,3654,1,1,1,Low
3873646,51.66222159260079,4050,1,0,1,Low
4032967,53.452278413349234,4255,4,3,0,High
4664479,49.54762126836649,4953,6,5,0,High
3662259,58.05175949800932,3850,2,1,1,Low
4564480,52.92819974943055,4807,3,5,1,High
4404140,47.31209258219822,4617,3,7,0,High
3534826,53.90102583815079,3687,1,0,1,Low
3149093,42.1973336723942,3337,2,0,1,Low
4744534,55.905236505924414,5007,3,2,1,High
4363873,39.04439181350584,4548,0,0,0,Low
5170981,57.906634501718514,5488,3,1,1,High
5486188,49.28885562802646,5778,3,1,0,High
4802621,52.18792237505897,5038,5,6,1,High
3241043,53.35695218579313,3407,2,0,1,Low
3796871,55.27689044209611,4024,2,1,1,Low
3365296,52.30525353477577,3542,0,0,1,Low
3402664,56.51803786526247,3596,2,0,1,Low
2847765,52.01803529298023,3041,0,0,0,Low
3045972,51.36619840482636,3216,1,1,1,Low
3092250,44.64584704059686,3294,0,0,1,Low
4612669,48.72529205872568,4840,1,4,0,High
4431793,54.31801760619942,4621,3,3,0,High
3735913,51.90639034002182,3945,0,1,1,Low
3406547,47.713254735758774,3578,0,0,1,Low
3325108,35.33580287309893,3549,0,0,1,Low
4261562,51.233460262107954,4440,0,0,0,Low
4092398,54.38160454284169,4280,3,4,1,High
4824260,48.676199534355845,5078,3,7,0,High
4345153,54.554494599350576,4532,4,5,0,High
5303146,49.692432521907406,5571,5,7,0,High
5065958,54.78540450660995,5344,3,8,0,High
3663463,46.68539682714682,3856,0,0,1,Low
2566324,43.4112516782673,2683,1,0,1,Low
3590933,49.48932351780201,3783,0,0,0,Low
3829352,42.54505429748926,3992,0,0,0,Low
4143487,45.332174650526156,4312,0,0,1,Low
4165219,59.99590323749882,4339,1,1,1,Low
3827182,47.66649197453727,4066,0,0,1,Low
3821676,57.38822750960117,4063,0,1,0,Low
3186290,45.027664542412516,3342,0,1,1,Low
4198582,43.8576042941895,4403,0,0,1,Low
3911585,48.439907803130424,4083,0,0,1,Low
3735844,38.82141418096315,3910,0,0,1,Low
2991403,51.100015851888735,3158,1,0,0,Low
2969870,41.2923290617983,3137,0,0,1,Low
4784963,41.35737327239987,5051,0,0,1,Low
3218116,26.590768203840707,3339,1,0,0,Low
3916611,40.040765903341445,4121,0,0,0,Low
5411101,43.30270574365341,5681,2,9,1,High
2653366,42.59680268887714,2827,0,0,1,Low
3663066,40.49331854168818,3806,0,1,1,Low
4092605,43.97976483866792,4281,0,1,1,Low
3642236,48.23130909210535,3863,0,0,1,Low
4577619,52.03354370648263,4771,0,0,1,Low
3648653,51.736798988783534,3830,1,0,1,Low
4502787,52.3055494787583,4745,1,0,0,Low
3046710,53.066654106176216,3241,1,0,1,Low
3187590,48.156546301265,3340,0,0,0,Low
5212207,51.50154487462612,5516,5,3,1,High
2655221,53.922733200772264,2832,1,0,1,Low
4327654,61.211647590892454,4602,1,0,1,High
3992861,44.43321271117067,4232,2,0,0,Low
5208349,54.47464783883973,5438,5,5,0,High
2959471,54.31891711999742,3081,3,1,1,Low
3951127,35.928491980777366,4195,0,1,1,Low
3706285,36.42189242211506,3892,1,0,1,Low
4252947,42.51353734093802,4454,1,3,0,High
4545071,42.06155368365674,4795,7,2,0,High
3730037,46.50161230304919,3943,0,0,1,Low
3417138,43.046490941895236,3597,2,0,0,Low
4069085,46.01048025442105,4289,0,1,0,Low
3777688,44.262777021460295,3974,0,0,1,Low
3815723,62.723053044874256,3982,0,0,1,Low
3223888,51.79759090653307,3356,0,0,1,Low
3677166,48.486515251628866,3830,2,2,1,High
2625726,40.45595819742693,2782,0,0,1,Low
4821635,56.121893681743316,5077,8,2,0,High
4191079,51.89225932553786,4383,0,1,0,Low
3229050,51.83334627562064,3360,1,0,1,Low
3908876,39.06364164210416,4098,2,0,1,Low
4093193,46.58188299645384,4279,0,0,1,Low
4576783,52.77635997159323,4830,2,3,1,High
4510200,43.56075434121968,4729,0,0,0,Low
4282762,47.605498433562076,4538,1,0,1,Low
3544476,54.9954822922284,3755,1,1,0,Low
3825100,47.4049448173237,4032,0,0,1,Low
2941707,40.97194194161417,3069,1,0,1,Low
3458924,54.70377498952877,3635,1,1,1,Low
3756917,46.459138149485796,3974,1,0,0,Low
3161803,58.805642597464896,3279,0,0,0,Low
4576908,44.44183707621788,4798,0,2,1,High
3628998,50.81470025868638,3847,1,0,1,Low
4251699,53.26417374345403,4426,0,0,1,Low
3264445,54.450745651303734,3400,0,1,1,Low
4199677,53.54780209747661,4445,0,1,1,Low
5247596,54.54068720672788,5559,2,7,0,High
4684279,45.455768508003004,4972,0,0,1,Low
4787822,60.569081434447455,5064,6,2,0,High
3454120,51.016738326244536,3644,1,0,1,Low
3612225,54.28258981567293,3817,0,0,1,Low
3799891,54.801280647016235,3966,1,0,1,Low
3187218,50.37482120062445,3340,2,0,1,Low
3974754,51.79830859311405,4177,5,5,0,High
3716572,46.20294517096675,3937,0,0,1,Low
4021709,50.28753935613635,4226,3,2,0,High
3586954,54.53662025616261,3797,0,0,1,Low
3434542,41.79027081280721,3584,1,0,0,Low
4869671,53.81013956728534,5082,5,1,1,High
4938284,49.397145850619644,5193,6,4,1,High
5109014,52.564146623290256,5401,4,5,0,High
3957607,48.26511098903911,4190,6,1,0,High
2490222,54.42840546224233,2605,0,0,1,Low
3584846,43.79930476076995,3748,1,0,1,Low
4844804,47.2744240668048,5084,3,6,1,High
4423017,50.8772996925329,4693,3,5,0,High
3229838,51.08124424898108,3404,0,0,0,Low
5498707,51.699423332759935,5779,1,6,1,High
4178068,49.22837920881637,4427,5,5,0,High
2968299,43.55971849306337,3150,0,0,0,Low
3657191,47.987497215478896,3837,0,0,1,Low
4994980,56.81627207553954,5266,5,4,1,High
4916892,45.77641741518549,5160,5,5,0,High
5455605,54.77762527578148,5699,2,1,0,High
4253843,50.734366201220794,4492,6,5,0,High
2889841,43.68790844734032,3072,0,1,1,Low
3496964,53.030944646709855,3665,2,1,1,Low
4387106,49.56159335020636,4582,0,0,1,Low
3768254,42.609192109253776,3940,0,1,1,Low
3956187,38.41372848135955,4212,0,1,1,Low
3314143,42.04612040378343,3505,0,0,0,Low
3293963,49.810170809676244,3448,0,2,1,Low
4265375,55.312571110183896,4448,0,0,1,Low
4319744,47.404243739750065,4517,1,0,0,Low
3193298,46.18518188107123,3327,1,0,1,Low
3203586,44.95600334766873,3384,1,0,1,Low
3246446,40.973748874944874,3421,0,1,1,Low
3304217,47.908841227380066,3466,0,0,0,Low
3967619,45.037376533509004,4206,1,0,0,Low
2519920,60.36335169969631,2653,1,0,0,Low
4045775,51.198084474906835,4271,1,0,1,Low
